# redshift T_b[mK]
1.554754754754754664e+01 2.981049168508019065e+01
1.552852852852852727e+01 2.305163215523296216e+01
1.550950950950950791e+01 1.807211362987666803e+01
1.549049049049049032e+01 4.125256335786002637e+01
1.547147147147147095e+01 5.117403325636153966e+01
1.545245245245245158e+01 1.818169214677212153e+01
1.543343343343343221e+01 3.788300347100532406e+01
1.541441441441441285e+01 2.583129064552971954e+01
1.539539539539539525e+01 2.754925898346843383e+01
1.537637637637637589e+01 2.657758664597374576e+01
1.535735735735735652e+01 2.394114800747341576e+01
1.533833833833833715e+01 3.314433745696793920e+01
1.531931931931931778e+01 2.442624002518859783e+01
1.530030030030030019e+01 3.551550208074584702e+01
1.528128128128128083e+01 3.238233604893523676e+01
1.526226226226226146e+01 3.056762893029453210e+01
1.524324324324324209e+01 2.395249157289418918e+01
1.522422422422422272e+01 2.733007768024156192e+01
1.520520520520520513e+01 4.072002720642923634e+01
1.518618618618618576e+01 3.824197847920601845e+01
1.516716716716716640e+01 2.352252175816779101e+01
1.514814814814814703e+01 3.435537408349308208e+01
1.512912912912912766e+01 4.093862486503524423e+01
1.511011011011011007e+01 1.679214589315257911e+01
1.509109109109109070e+01 3.898018342501297440e+01
1.507207207207207134e+01 2.697951160517459712e+01
1.505305305305305197e+01 3.936966632001733046e+01
1.503403403403403260e+01 2.608780220429041563e+01
1.501501501501501501e+01 1.572709118091975000e+01
1.499599599599599564e+01 1.755472778945372525e+01
1.497697697697697627e+01 3.436369945758658417e+01
1.495795795795795691e+01 3.653163264772069851e+01
1.493893893893893754e+01 2.494167693761405502e+01
1.491991991991991995e+01 4.042009895769449201e+01
1.490090090090090058e+01 1.746721826365993735e+01
1.488188188188188121e+01 3.346879553999463042e+01
1.486286286286286185e+01 2.206555270743068320e+01
1.484384384384384248e+01 2.770243746451729550e+01
1.482482482482482311e+01 3.473884749405938521e+01
1.480580580580580552e+01 2.570378306205214614e+01
1.478678678678678615e+01 3.050404248276205621e+01
1.476776776776776678e+01 4.445306014701462516e+01
1.474874874874874742e+01 2.866078281174042885e+01
1.472972972972972805e+01 4.282524134135054794e+01
1.471071071071071046e+01 2.320893313466056540e+01
1.469169169169169109e+01 3.984080158510518288e+01
1.467267267267267172e+01 4.899429370167352715e+01
1.465365365365365236e+01 9.897112681972302539e+00
1.463463463463463299e+01 2.667867043625722445e+01
1.461561561561561540e+01 4.045153707611119387e+01
1.459659659659659603e+01 3.268258337175573303e+01
1.457757757757757666e+01 3.845535787084942569e+01
1.455855855855855729e+01 2.873407039480960634e+01
1.453953953953953793e+01 3.566901625577097690e+01
1.452052052052052034e+01 3.327472627229364122e+01
1.450150150150150097e+01 4.653689473370344842e+01
1.448248248248248160e+01 3.743006444761874718e+01
1.446346346346346223e+01 3.828788166471334620e+01
1.444444444444444287e+01 3.081831212488005178e+01
1.442542542542542527e+01 3.008548433380103404e+01
1.440640640640640591e+01 3.065967795419953035e+01
1.438738738738738654e+01 3.895229064217372184e+01
1.436836836836836717e+01 3.081946579910727380e+01
1.434934934934934780e+01 3.794787692041562366e+01
1.433033033033033021e+01 5.582424040577967617e+01
1.431131131131131085e+01 4.380087920111296285e+01
1.429229229229229148e+01 3.184810170732716372e+01
1.427327327327327211e+01 4.713849567008840324e+01
